,BR,BTH,BPH,BMAG,UNIX TIME
0,-0.5047190220752802,-0.16823967402509338,-0.18118118741163905,0.5629558323147356,828117527.037
1,-0.4270462510233348,-0.2005823300261118,0.032351988713889,0.4788094329655572,828119468.369
2,-0.10999065953587592,-0.3429120562000837,-0.3105618622189437,0.4787828709208716,828121409.701
3,-0.22643879487682755,-0.2329084747304512,-0.09057551795073103,0.3364233523884295,828123351.034
4,-0.32993536666321477,-0.3105274039183198,-0.10997845555440493,0.4657911058774797,828125292.366
5,-0.4398894146571559,-0.22641366930883022,-0.019406885940756877,0.4981100724794265,828127233.698
6,-0.6986091293444641,-0.2005266945340591,0.10996625184125823,0.7309521445918928,828129175.03
7,-0.595078459285244,-0.3428169385012819,-0.012936488245331392,0.6921021211252295,828131116.362
8,-0.5433023567825526,-0.33633003038919923,-0.06467885199792293,0.640320634779437,828133057.694
9,-0.36218147172848564,-0.24576599867290094,-0.4785969447840702,0.6467526280865814,828134999.026
10,-0.3686285398555305,-0.4979718871732605,-0.103474677854184,0.6337824018568771,828136940.358
11,-0.5820127609369138,-0.4332761664752581,-0.09053531836796437,0.7307493553985694,828138881.69
12,-0.44618501879615424,-0.3621211746751397,-0.2845237801018955,0.6401785052292648,828140823.022
13,-0.4138298012565762,-0.4138298012565762,-0.20044880998365408,0.6207447018848642,828142764.354
14,-0.2198348793451572,-0.2521635380723862,-0.49139561265388076,0.5948473205810135,828144705.687
15,-0.12284208415391373,-0.36852625246174114,-0.3103378968098873,0.4978337094658609,828146647.019
16,-0.3167856839868254,-0.2586005583565921,-0.47841103295969545,0.6335713679736508,828148588.351
17,-0.6852534375866851,-0.4331318897953576,-0.33616206372177004,0.8791930897338602,828150529.683
18,-0.4525007331725523,-0.16160740470448298,-0.1357502199517657,0.4977508064898076,828152471.015
19,-0.15513449540965205,-0.2197738684970071,-0.3231968654367751,0.4201559250678077,828154412.347
20,-0.3748875491279953,-0.5817220589917169,-0.10341725493186078,0.7045300492233016,828156353.679
21,-0.06463219561696949,-0.6657116148547858,-0.4394989301953926,0.8014392256504217,828158295.011
22,-0.5493431589987297,-0.6656746514925783,-0.22620012429359454,0.8918747757861728,828160236.343
23,-0.9693752745688197,-0.6333251793849621,-0.21326256040514033,1.1761753331435012,828162177.675
24,-0.8206921572872166,-0.6849871549011414,-0.6591385830180795,1.253655736328504,828164119.008
25,-0.44586310393658724,-0.6655637638473695,-0.5169427292018404,0.9498822649083816,828166060.34
26,-0.4458383431629805,-0.7236796294819394,-0.15507420631755844,0.859369560009803,828168001.672
27,-0.18090985963096268,-0.5814959773852371,-0.43289144983123207,0.7494837041854167,828169943.004
28,-0.8269705691523858,-0.5814636814352713,-0.38118174671867777,1.0789381644410032,828171884.336
29,-0.025841394926265266,-0.7106383604722949,-0.7300194066669937,1.020735099587478,828173825.668
30,-0.2906995453011755,-0.6718389491404945,-0.23901962613652206,0.7687387975742195,828175767.0
31,-0.12273299020743746,-0.7751557276259208,-0.5361493782745952,0.9495657663417529,828177708.332
32,-0.32942288400894687,-0.6523864957824242,-0.20023743929955595,0.7557348515499369,828179649.664
33,0.09041976427636021,-0.7362752233932187,-0.1485467555968775,0.7556508871667246,828181590.996
34,0.36811715917203064,-0.43915731269645764,-0.826649059193332,1.0074785408918734,828183532.328
35,0.22602429369382632,-0.8395188051484977,-0.6070366744919906,1.0590852618796434,828185473.661
36,0.6715777280542065,-0.5811730338930633,-0.6909501625173087,1.1236011988599224,828187414.993
37,0.135599506350168,-0.8910824703011039,-0.54885514475068,1.052510454051304,828189356.325
38,0.2711839430833216,-0.8781194347459939,-0.25181366143451295,0.9491438007916256,828191297.657
39,-0.10330242805043671,-0.7295733981062092,-0.051651214025218356,0.7360297998593616,828193238.989
40,-0.15494503105575472,-0.8457416278459945,-0.21304941770166275,0.8844778856099332,828195180.321
41,-0.49063199708078503,-0.9360742049567609,0.2582273668846237,1.0845549409154194,828197121.653
42,0.09037455542541974,-0.9166562050292572,-0.025821301550119923,0.9166562050292572,828199062.985
43,-0.2130138980276951,-0.6261317608692856,0.03872979964139911,0.6648615605106847,828201004.317
44,-0.3743672541530764,-0.5680054890598402,0.21945666622766552,0.7164614691550257,828202945.649
45,-0.5421569208305911,-0.8777778718209571,0.342075200047873,1.0843138416611822,828204886.981
46,-0.9616296530229809,-0.5808501259870354,0.555034564832056,1.2520547160164985,828206828.314
47,-0.9228550079232921,-0.33558363924483353,0.2258736033378687,1.0132044492584398,828208769.646
48,-0.4710816117055762,-0.6969426584137293,-0.7227553494660897,1.1099457152514947,828210710.978
49,-0.3484519563346931,-0.8001489367685545,-0.8195073787871486,1.2002234051528318,828212652.31
50,-0.26455066538378935,-0.8452716381774733,-0.6968651673524208,1.129179669321052,828214593.642
51,-0.31615272871000116,-0.6581138434371453,-0.39357788676143,0.8323204490528603,828216534.974
52,-0.0516139020741281,-0.516139020741281,-0.496783807463483,0.7161428912785275,828218476.306
53,-0.1225762013458803,-0.38063136207404935,-0.34837446698302826,0.5290130794927466,828220417.638
54,0.20642116953457423,-0.21932249263048514,-0.5483062315762127,0.6192635086037227,828222358.97
55,0.35476665503229154,-0.3612169578510605,-0.5676266480516664,0.7611357326147346,828224300.302
56,0.12899888187082703,-0.23219798736748862,-0.1418987700579097,0.30314737239644346,828226241.634
57,0.16768921967909617,-0.32892885398591937,-0.3160296832413735,0.4901684882927426,828228182.967
58,-0.0,-0.34180901271308745,-0.27086751950848437,0.4385474125375462,828230124.299
