2006 037 04 52 10.500       -19.977       -63.433        15.184        68.215         1.083        -0.177         0.443         1.184
2006 037 04 57 10.500       -19.972       -63.434        15.186        68.215         1.084        -0.176         0.443         1.184
2006 037 05 02 10.500       -19.966       -63.434        15.188        68.215         1.084        -0.176         0.442         1.184
2006 037 05 07 10.500       -19.961       -63.435        15.191        68.215         1.084        -0.175         0.442         1.184
2006 037 05 12 10.500       -19.956       -63.436        15.193        68.214         1.084        -0.174         0.442         1.184
2006 037 05 17 10.500       -19.951       -63.437        15.195        68.214         1.084        -0.174         0.442         1.184
2006 037 05 22 10.500       -19.945       -63.438        15.197        68.214         1.085        -0.173         0.442         1.184
2006 037 05 27 10.500       -19.940       -63.439        15.199        68.213         1.085        -0.173         0.442         1.184
2006 037 05 32 10.500       -19.935       -63.439        15.202        68.213         1.085        -0.172         0.442         1.184
2006 037 05 37 10.500       -19.930       -63.440        15.204        68.213         1.085        -0.171         0.441         1.184
2006 037 05 42 10.500       -19.924       -63.441        15.206        68.213         1.085        -0.171         0.441         1.184
2006 037 05 47 10.500       -19.919       -63.442        15.208        68.212         1.086        -0.170         0.441         1.184
2006 037 05 52 10.500       -19.914       -63.443        15.210        68.212         1.086        -0.169         0.441         1.184
2006 037 05 57 10.500       -19.909       -63.443        15.213        68.212         1.086        -0.169         0.441         1.184
2006 037 06 02 10.500       -19.903       -63.444        15.215        68.211         1.086        -0.168         0.441         1.184
2006 037 06 07 10.500       -19.898       -63.445        15.217        68.211         1.086        -0.168         0.441         1.184
2006 037 06 12 10.500       -19.893       -63.446        15.219        68.211         1.087        -0.167         0.440         1.184
2006 037 06 17 10.500       -19.887       -63.447        15.221        68.210         1.087        -0.166         0.440         1.184
2006 037 06 22 10.500       -19.882       -63.447        15.223        68.210         1.087        -0.166         0.440         1.184
2006 037 06 27 10.500       -19.877       -63.448        15.226        68.210         1.087        -0.165         0.440         1.184
2006 037 06 32 10.500       -19.872       -63.449        15.228        68.209         1.087        -0.164         0.440         1.184
2006 037 06 37 10.500       -19.866       -63.450        15.230        68.209         1.088        -0.164         0.440         1.184
2006 037 06 42 10.500       -19.861       -63.450        15.232        68.209         1.088        -0.163         0.439         1.184
2006 037 06 47 10.500       -19.856       -63.451        15.234        68.208         1.088        -0.163         0.439         1.184
2006 037 06 52 10.500       -19.851       -63.452        15.237        68.208         1.088        -0.162         0.439         1.185
2006 037 06 57 10.500       -19.845       -63.453        15.239        68.208         1.088        -0.161         0.439         1.185
2006 037 07 02 10.500       -19.840       -63.453        15.241        68.207         1.089        -0.161         0.439         1.185
2006 037 07 07 10.500       -19.835       -63.454        15.243        68.207         1.089        -0.160         0.439         1.185
2006 037 07 12 10.500       -19.829       -63.455        15.245        68.207         1.089        -0.159         0.439         1.185
2006 037 07 17 10.500       -19.824       -63.456        15.248        68.206         1.089        -0.159         0.438         1.185
2006 037 07 22 10.500       -19.819       -63.456        15.250        68.206         1.089        -0.158         0.438         1.185
2006 037 07 27 10.500       -19.814       -63.457        15.252        68.206         1.089        -0.158         0.438         1.185
2006 037 07 32 10.500       -19.808       -63.458        15.254        68.205         1.090        -0.157         0.438         1.185
2006 037 07 37 10.500       -19.803       -63.459        15.256        68.205         1.090        -0.156         0.438         1.185
2006 037 07 42 10.500       -19.798       -63.459        15.258        68.205         1.090        -0.156         0.438         1.185
2006 037 07 47 10.500       -19.792       -63.460        15.261        68.204         1.090        -0.155         0.437         1.185
2006 037 07 52 10.500       -19.787       -63.461        15.263        68.204         1.090        -0.154         0.437         1.185
2006 037 07 57 10.500       -19.782       -63.462        15.265        68.203         1.091        -0.154         0.437         1.185
2006 037 08 02 10.500       -19.777       -63.462        15.267        68.203         1.091        -0.153         0.437         1.185
2006 037 08 07 10.500       -19.771       -63.463        15.269        68.203         1.091        -0.153         0.437         1.185
2006 037 08 12 10.500       -19.766       -63.464        15.271        68.202         1.091        -0.152         0.437         1.185
2006 037 08 17 10.500       -19.761       -63.464        15.274        68.202         1.091        -0.151         0.437         1.185
2006 037 08 22 10.500       -19.755       -63.465        15.276        68.202         1.092        -0.151         0.436         1.185
2006 037 08 27 10.500       -19.750       -63.466        15.278        68.201         1.092        -0.150         0.436         1.185
2006 037 08 32 10.500       -19.745       -63.467        15.280        68.201         1.092        -0.149         0.436         1.185
2006 037 08 37 10.500       -19.740       -63.467        15.282        68.200         1.092        -0.149         0.436         1.185
2006 037 08 42 10.500       -19.734       -63.468        15.285        68.200         1.092        -0.148         0.436         1.185
2006 037 08 47 10.500       -19.729       -63.469        15.287        68.200         1.093        -0.148         0.436         1.185
2006 037 08 52 10.500       -19.724       -63.469        15.289        68.199         1.093        -0.147         0.436         1.186
2006 037 08 57 10.500       -19.718       -63.470        15.291        68.199         1.093        -0.146         0.435         1.186
2006 037 09 02 10.500       -19.713       -63.471        15.293        68.198         1.093        -0.146         0.435         1.186
2006 037 09 07 10.500       -19.708       -63.471        15.295        68.198         1.093        -0.145         0.435         1.186
2006 037 09 12 10.500       -19.702       -63.472        15.298        68.198         1.094        -0.144         0.435         1.186
2006 037 09 17 10.500       -19.697       -63.473        15.300        68.197         1.094        -0.144         0.435         1.186
2006 037 09 22 10.500       -19.692       -63.473        15.302        68.197         1.094        -0.143         0.435         1.186
2006 037 09 27 10.500       -19.687       -63.474        15.304        68.196         1.094        -0.143         0.434         1.186
2006 037 09 32 10.500       -19.681       -63.475        15.306        68.196         1.094        -0.142         0.434         1.186
2006 037 09 37 10.500       -19.676       -63.475        15.308        68.195         1.095        -0.141         0.434         1.186
2006 037 09 42 10.500       -19.671       -63.476        15.310        68.195         1.095        -0.141         0.434         1.186
2006 037 09 47 10.500       -19.665       -63.477        15.313        68.195         1.095        -0.140         0.434         1.186
2006 037 09 52 10.500       -19.660       -63.477        15.315        68.194         1.095        -0.139         0.434         1.186
2006 037 09 57 10.500       -19.655       -63.478        15.317        68.194         1.095        -0.139         0.434         1.186
2006 037 10 02 10.500       -19.649       -63.479        15.319        68.193         1.096        -0.138         0.433         1.186
2006 037 10 07 10.500       -19.644       -63.479        15.321        68.193         1.096        -0.138         0.433         1.186
2006 037 10 12 10.500       -19.639       -63.480        15.323        68.192         1.096        -0.137         0.433         1.186
