epoch,accuracy,loss,val_accuracy,val_loss
0,0.5109134,1.2164880980414141,0.5141034,1.0711037786796318
1,0.6610141,0.856170273931976,0.6756212,0.7703323713319264
2,0.6994627,0.7247476478284282,0.7081934,0.6808747189248304
3,0.72506714,0.6509887062518528,0.679315,0.6896582719931833
4,0.7499161,0.5930164237403486,0.73975825,0.5810645877554402
5,0.76334786,0.5560143001532699,0.7995299,0.5102934001390169
6,0.7791303,0.5184966351178927,0.7360645,0.6225346354823972
7,0.7906313,0.49407511757395267,0.79449296,0.49347946172876594
8,0.8044829,0.4704682058620325,0.80154467,0.45413303535113886
9,0.81229013,0.45085382880861924,0.80591,0.45809174627766186
